contigname	ERR011349_ERR011349
k79_18435	6.2115
k79_32222	4.0082
k79_18436	4.85443
k79_23038	5.95673
k79_32223	5.03109
k79_23039	4.25595
k79_32224	4.23864
k79_9232	8.79841
k79_18437	7.73288
k79_23040	3.49577
k79_32225	11.5952
k79_23041	5.5
k79_32226	2.78075
k79_18438	5.44068
k79_9233	6.09903
k79_23042	8.81818
k79_9234	3.50602
k79_23043	3.72308
k79_18439	6.43085
k79_23044	5.0
k79_9235	4.06962
k79_9236	5.04464
k79_18440	4.28889
k79_23045	7.02336
k79_9237	2.45455
k79_23046	3.3615
k79_9238	1.97531
k79_18441	6.50511
k79_9239	5.9486
k79_23047	5.44604
k79_18442	7.03107
k79_23048	2.79661
k79_54	46.4035
k79_9240	8.31041
k79_23049	9.13043
k79_55	4.55455
k79_9241	7.816
k79_23050	5.16964
k79_27594	6.62983
k79_13814	30.7023
k79_23051	4.24779
k79_27595	10.1882
k79_9242	4.41848
k79_23052	6.04545
k79_27596	8.024
k79_13815	5.27439
k79_56	4.75495
k79_27597	10.2026
k79_13816	5.0493
k79_23053	2.48077
k79_9243	3.74477
k79_57	4.23789
k79_27598	6.53722
k79_9244	3.59273
k79_27599	5.92308
k79_58	3.24845
k79_13817	6.92353
k79_9245	4.28947
k79_27600	6.07207
k79_59	5.81595
k79_9246	4.56818
k79_13818	6.20603
k79_27601	6.62162
k79_9247	4.92308
k79_13819	1.91892
k79_27602	9.16667
k79_60	6.15981
k79_13820	4.96154
k79_4623	47.5126
k79_27603	4.78788
k79_61	5.0625
k79_4624	4.31915
k79_27604	3.18579
k79_62	3.08403
k79_13821	7.4335
k79_4625	4.00578
k79_27605	23.7354
k79_27606	2.31159
k79_4626	3.42908
k79_63	6.89118
k79_13822	4.4473
k79_27607	6.46203
k79_64	9.25952
k79_13823	6.80365
k79_27608	15.4064
k79_4627	6.6535
k79_65	7.76012
k79_13824	5.18497
k79_4628	7.15748
k79_66	1.53279
k79_27609	5.39181
k79_13825	4.64286
k79_67	2.15044
k79_4629	8.13239
k79_13826	6.61798
k79_68	3.38532
k79_27610	2.94764
k79_9248	6.71795
k79_27611	5.44578
k79_69	3.89189
k79_4630	12.7441
k79_4631	5.584
k79_9249	4.27717
k79_13827	5.53252
k79_70	6.02602
k79_4632	3.68966
k79_9250	4.40678
k79_71	3.16949
k79_9251	1.89937
k79_4633	7.11765
k79_27612	9.42753
k79_72	5.45349
k79_9252	6.40807
k79_27613	3.47059
k79_9253	4.56334
k79_73	21.0771
k79_27614	6.48643
k79_4634	9.5047
k79_9254	4.22826
k79_13828	22.0359
k79_27615	4.53684
k79_74	3.2809
k79_4635	10.9
k79_9255	10.9732
k79_27616	9.77652
k79_13829	5.54167
k79_9256	4.95968
k79_27617	7.55556
k79_13830	4.8009
k79_75	6.39153
k79_4636	5.11522
k79_9257	3.39076
k79_27618	14.8428
k79_76	4.61345
k79_13831	3.19388
k79_9258	4.88235
k79_27619	2.57971
k79_77	7.28125
k79_13832	4.18627
k79_27620	10.337
k79_4637	5.51413
k79_9259	6.58473
k79_78	8.03725
k79_27621	6.51813
k79_4638	7.33735
k79_79	2.81081
k79_9260	4.90984
k79_4639	4.17204
k79_80	6.48113
