contigs	predictions
k79_9218	2;1239;186801;186802;216572;459786;2109687
k79_27585	2;976;200643;171549;815;909656;821
k79_23011	2;976;200643;171549;815;909656;821
k79_32202	2;976;200643;171549;815;816;820
k79_23012	2;976;200643;171549;815;816;28111
k79_32203	2;976;200643;171549;815;909656;821
k79_23013	2;1239;909932;1843489;31977;39948;2582419
k79_30	2;201174;1760;85004;31953;1678;216816;1682
k79_32204	2;976;200643;171549;2005525;375288;46503
k79_4602	2;1239;186801;3085636;186803;2569097;39488
k79_23014	
k79_27586	2;976;200643;171549;815;816;28111
k79_31	
k79_32205	
k79_4603	
k79_23015	2;976;200643;171549;815;909656;821
k79_32	
k79_4604	2;976;200643;171549;2005525;375288;46503
k79_32206	2;976;200643;171549;815;816;820
k79_27587	2;1239;186801;186802;216572;1263;2564099
k79_23016	
k79_27588	2;1239;186801;3085636;186803
k79_32207	2;1239;91061;186826;186828;2747
k79_33	2;976;200643;171549;2005525;375288;46503
k79_27589	2;976;200643;171549;171550;239759;1288121
k79_18417	
k79_4605	2;1239;186801;186802;216572;1263;2564099
k79_34	2;976;200643;171549;815;909656;821
k79_32208	2;1239;186801;3085636;186803;189330;88431
k79_18418	2;1239;186801;186802;216572;1263;2564099
k79_4606	2;976;200643;171549;815;909656;821
k79_35	2;976;200643;171549;815;909656;821
k79_32209	2;1239;186801;186802;216572;1263;2564099
k79_18419	2;1239;186801;186802;216572;1905344;1550024
k79_4607	2;1239;186801;3085636;186803;2569097;39488
k79_18420	2;976;200643;171549;815;816;820
k79_36	
k79_27590	2;976;200643;171549;815;909656;821
k79_18421	2;976;200643;171549;815;909656;821
k79_37	
k79_4608	2;1239;186801;3085636;186803;28050;39485
k79_23017	
k79_27591	2;1239;186801;3085636;186803;2569097;39488
k79_18422	
k79_4609	2;1239;186801;3085636;186803;572511;40520;657314
k79_38	2;976;200643;171549;2005525;375288;46503
k79_27592	2;976;200643;171549;815;909656;821
k79_18423	2;1239;186801;3085636;186803
k79_4610	
k79_39	
k79_27593	2;1239;186801;3085636;186803;207244;649756
k79_32210	2;976
k79_23018	2;976;200643;171549;815;909656;821
k79_40	
k79_4611	2;976;200643;171549;815;816;820
k79_23019	
k79_41	2;1239;186801;3085636;186803;2569097;39488
k79_23020	
k79_42	2;1239;186801;186802;31979;1485;411486
k79_4612	2;1239;186801;186802;31979;1485;704125
k79_9219	2;1239;186801;3085636;186803;3342669;45851
k79_18424	
k79_23021	
k79_9220	2;976;200643;171549;815;816;820
k79_18425	
k79_4613	
k79_23022	
k79_43	2;976;200643;171549;815;816;28111
k79_44	
k79_9221	2;1239;186801;3085636;186803;207244;649756
k79_23023	2;1239;186801;3085636;186803;2944152;2763670
k79_4614	2;29547;3031852;213849;2808963;2321111;28197
k79_9222	2;976;200643;171549;815;909656;821
k79_18426	2;1239;91061;186826;33958;1578;2620435
k79_23024	
k79_4615	
k79_18427	
k79_9223	2;1239;186801;3085636;186803;189330;88431
k79_4616	
k79_32211	2;976;200643;171549;815;909656
k79_23025	2;1239;186801;3085636;186803;2569097;39488
k79_18428	2;1239;186801;3085636;186803;189330;88431
k79_32212	2;976;200643;171549;815;816;28111
k79_4617	
k79_18429	2;976;200643;171549;815;909656;821
k79_23026	2;1239;186801;3085636;186803;2569097;39488
k79_23027	
k79_32213	
k79_4618	2;1239;186801;186802;216572
k79_45	2;1239;186801;3085636;186803;841;301301
k79_9224	2;976;200643;171549;815;816;817
k79_23028	
k79_9225	
k79_23029	2;1239;186801;186802;216572;1263;2564099
k79_32214	2;1239;186801;3085636;186803;841;166486;718255
k79_46	2;976;200643;171549;815;816;291645
k79_9226	2;1239;186801;186802;216572;2591381;2093857
k79_4619	2;1239;186801;3085636;186803;248744;168384;478749
k79_23030	2;976;200643;171549;815;816;246787
k79_32215	2;976;200643;171549;815;909656;821
k79_4620	2;1239;186801;3085636;186803;207244;649756
k79_47	2;976;200643;171549;815;909656;821
k79_9227	
k79_23031	
k79_4621	2;1239;186801;3085636;186803;2569097;39488
k79_48	
k79_32216	2;976;200643;171549;815;909656;821
k79_18430	2;1239;186801;186802;216572;1263;2564099
k79_4622	2;976;200643;171549;815;816;46506;449673
k79_9228	2;1239;186801;3085636;186803;2944193;2763672
k79_23032	2;1239;186801;3085636;186803;189330;88431
k79_49	
