contigs	predictions
k79_23646	2;1239;186801;186802;216572;1263;2564099
k79_19153	2;1239;186801;3085636;186803;189330;88431
k79_14394	2;1239;186801;3085636;186803;1766253;39491
k79_721	2;1239;186801;3082720;186804;1501226
k79_28224	2;1239;186801;186802;216572;1263;2564099
k79_19154	2;1239;186801;3085636;186803;2569097;39488
k79_23647	2;1224;1236;72273;135616;1237;1238
k79_28225	2;976;200643;171549;815;816;820
k79_32985	2;1239;186801;186802;216572;1263;2564099
k79_19155	2;1239;186801;3085636;186803;2569097;39488
k79_722	2;976;200643;171549
k79_23648	
k79_28226	2;1239;186801;3085636;186803;207244;649756
k79_723	
k79_19156	2;976;200643;171549;815;909656;821
k79_14395	2;1239;186801;3085636;186803;2569097;39488
k79_23649	2;1239;186801;186802;216572;1263;2564099
k79_28227	2;1239;186801;186802;31979;1485;394958
k79_724	2;1239;186801;3085636;186803;207244;649756
k79_14396	2;1239;186801;3085636;186803;207244;649756
k79_23650	2;1239;186801;3085636;186803;189330;88431
k79_28228	
k79_19157	
k79_28229	2;74201;203494;48461;1647988;239934;239935
k79_19158	
k79_725	2;203682;203683;112;126;1649453;2527964
k79_10068	
k79_19159	
k79_14397	2;976;200643;171549;815;816;820
k79_726	
k79_28230	2;1239;186801;3085636;186803;572511;53443;476272
k79_23651	2
k79_19160	
k79_28231	
k79_10069	2
k79_28232	2;976;200643;171549;815;816
k79_19161	
k79_28233	2;1239;186801;3085636;186803;207244;649756
k79_14398	2;976;200643;171549;815;816;820
k79_19162	2;1239;186801;3085636;186803;207244;649756
k79_10070	2;976;200643;171549;815;816;820
k79_23652	2;976;200643;171549;2005525;375288;46503
k79_727	
k79_14399	2;1239;186801
k79_19163	2;1239;186801;3085636;186803;2569097;39488
k79_10071	
k79_23653	
k79_5314	2;976;200643;171549;815;909656;821
k79_14400	2;1239;186801;3085636;186803;207244;649756
k79_19164	2;976;200643;171549;815;909656;821
k79_10072	2;1239;186801;3085636;186803;2569097;39488
k79_28234	2;1239;186801;186802;216572;216851;853
k79_14401	2;1239;186801;3085636;186803;2569097;39488
k79_728	2;976;200643;171549;815;909656;821
k79_32986	2;1239;186801;186802;31979;1485;1494
k79_5315	2;1239;186801;3085636;186803;207244;649756
k79_23654	2;976;200643;171549;815;816;820
k79_19165	2;200918;188708;1769716;1769717;1769718;1441386
k79_14402	2;976;200643;171549;171550;239759;1288121
k79_729	
k79_14403	2;1239;186801;186802;216572;2892396;2714353
k79_23655	2;544448;31969;186328;2131;2132;216935;1276246
k79_5316	2;1239;186801;3085636;186803;207244;649756
k79_32987	
k79_19166	2;1239;186801;3085636;186803;207244;649756
k79_14404	2;976;200643;171549;815;909656
k79_730	
k79_23656	2;1239;186801;3085636;186803;207244;649756
k79_5317	
k79_28235	2;1239;186801;186802;216572;1905344;1550024
k79_32988	2;1239;186801;186802;216572;2892396;2714353
k79_19167	
k79_28236	2;1239;909932;1843489;31977;39948;2161821
k79_32989	2;976;200643;171549;815;909656;821
k79_23657	
k79_731	2;976;200643;171549;2005525;375288;46503
k79_19168	2;976;200643;171549;815;816;820
k79_28237	
k79_32990	2;976;200643;171549;815;909656;821
k79_14405	2;1239;186801;3085636;186803;207244;649756
k79_23658	2;976;200643;171549;815;816;820
k79_732	
k79_28238	2;1239;186801;3085636;186803;2569097;39488
k79_32991	2;1239;186801;186802;216572;216851
k79_28239	2;976;200643;171549;815;816;820
k79_32992	2;1239;186801;3085636;186803
k79_14406	2;1239;186801;186802;216572;1263;2564099
k79_19169	2;1239;186801;3085636;186803;207244;649756
k79_32993	2;1239;186801;186802;216572;1263;2564099
k79_733	2;1239;186801;186802;31979;1485;94869
k79_14407	2;1239;186801;3085636;186803;2569097;39488
k79_28240	
k79_23659	2;1239;186801;186802;216572;1263;2564099
k79_32994	2;1239;186801;3085636;186803;2944152;2763670
k79_734	
k79_14408	
k79_23660	2;1239;186801;186802;216572;3079925;3029274
k79_28241	2;1239;186801;3085636;186803;3342669;45851
k79_19170	
k79_14409	
k79_32995	2;976;200643;171549;815;909656;821
k79_19171	
k79_28242	2;976;200643;171549;815;816;817
k79_14410	
k79_32996	2;1239;186801;186802;216572;2892396;2714353
k79_735	2;976;200643;171549;815;816;820
k79_32997	
k79_19172	2;1239;186801;186802;216572
k79_23661	2;976;200643;171549;815;909656;821
k79_14411	
k79_736	2;1239;186801;3085636;186803;2944152;2763670
k79_32998	
k79_737	
k79_28243	
k79_23662	2;1239;186801;186802;216572;216851;2646395
k79_14412	2;1239;186801;186802;216572;1263;2564099
k79_28244	2;976;200643;171549;815;816;820
k79_738	
k79_32999	2;1239;186801;186802;216572;2892396;2714355
k79_14413	2;976;200643;171549
k79_23663	2;976;200643;171549;815;909656;821
k79_28245	2;976;200643;171549;815;816
k79_14414	
k79_33000	2;976;200643;171549;815;909656;821
k79_23664	2;976;200643;171549;815;816
k79_739	2;1239;186801;186802;186806;1730;39496
k79_33001	2;1239;186801;3085636;186803;2569097;39488
k79_23665	2;1239;186801;3085636;186803;2569097;39488
k79_28246	2;1239;186801;3085636;186803;2569097;39488
k79_33002	2;976;200643;171549;815;909656;821
k79_23666	2;976;200643;171549
k79_33003	
k79_28247	
k79_5318	2;1224;1236;118969;444;445;446;91890
k79_19173	2;1239;186801;3085636;186803;2316020;33039;657313
k79_23667	2;976;200643;171549;815;816;820
k79_740	2;1239;186801;186802;216572;1263;2564099
k79_28248	2;1239;186801;3085636;186803;2569097;39488
k79_5319	
k79_19174	2;1239;186801;186802;216572;216851;853
k79_33004	2;1239;186801;3085636;186803;207244;649756
k79_28249	2;976;200643;171549;815;909656;821
k79_741	2;1239;186801;3085636;186803;2569097;39488
k79_19175	2;1239;186801;3085636;186803;1506553;66219;357809
k79_33005	2;976;200643;171549;815;909656
k79_28250	2
k79_742	2;1239;186801;3085636;186803;33042;410072
k79_19176	2;1239;186801
k79_28251	2;976;200643;171549
k79_743	2;1239;186801;186802;186806;1730;53442
k79_5320	
k79_5321	
k79_744	2;976;200643;171549;815;816;820
k79_33006	
k79_28252	2;1239;186801;186802;216572;1263;2564099
k79_5322	2;976;200643;171549;2005525;375288;823
k79_745	2;1239;186801;3085636;186803;207244;649756
k79_33007	
k79_28253	2;976;200643;171549;815;909656;821
k79_5323	2;1239;186801;3085636;186803;2569097;39488
k79_23668	2;1239;91061;186826;81852;1350;357441
k79_33008	
k79_28254	2;1239;186801;186802;216572;1263;2564099
k79_19177	2;976;200643;171549;815;816;820
k79_33009	2;976;200643;171549;815;909656;821
k79_28255	
k79_33010	2;976;200643;171549;2005525;375288;46503
k79_23669	2;976;200643;171549;815;816;820
k79_19178	2;544448;31969;186329;2146;2147;2148
k79_33011	2;1239;186801;186802;216572;1263;2564099
k79_5324	2;976;200643;171549;815;909656;821
k79_23670	2;1239;909932;1843489;31977;39948;2582419
k79_33012	2;1239;186801;3085636;186803;207244;649756
k79_746	2;1239;186801;3085636;186803;3342669;45851
k79_19179	2;976;200643;171549;171550;239759;1288121
k79_28256	2;1239;186801;3085636;186803
k79_14415	2;1239;186801;186802;216572;1263;2564099
k79_33013	
k79_5325	
k79_28257	2;1239;186801;186802;216572;1263;2564099
k79_33014	
k79_19180	2;1239;186801;3085636;186803;2569097;39488
k79_5326	
k79_14416	
k79_33015	
k79_747	2;1239;186801;3085636;186803;207244;649756
k79_19181	2;976;200643;171549;815;909656;821
k79_28258	
k79_14417	2;1239;186801;186802;216572;1263;2564099
k79_33016	
k79_748	
k79_28259	2;976;200643;171549;2005519;397864;397865;880074
k79_5327	2;976;200643;171549;815;909656;821
k79_14418	
k79_28260	2;74201;203494;48461;1647988;239934;239935
k79_33017	2;1239;186801;3085636;186803;207244;649756;649757
k79_28261	
k79_33018	2;1239;186801;186802;216572;1263;2564099
k79_33019	
k79_28262	2;1239;186801;186802;216572;1263;2564099
k79_33020	2;976;200643;171549;815;816
k79_19182	2;1239;186801;186802;216572;1263;2564099
k79_23671	2;976;200643;171549;815
k79_33021	2;1239;186801;3085636;186803;2569097;39488
k79_19183	2;976;200643;171549;2005525;375288;46503
k79_33022	2;1239;186801;186802;216572;216851
k79_5328	2;1239;186801;186802;31979;1485;2930219
k79_19184	2;1239;186801;3085636;186803;33042;116085
k79_23672	
k79_749	2;976;200643;171549;815;816;817;457424
k79_5329	2;1239;186801;3085636;186803;2569097;39488
k79_23673	
k79_750	2;976;200643;171549;815;816;820
k79_23674	2;976;200643;171549;815;909656;821
k79_751	2;1239;186801;186802;216572;1263;2564099
k79_23675	
k79_752	2;976;200643;171549;815;909656;821
k79_5330	
k79_5331	
k79_33023	2;1239;186801;3085636;186803;207244;649756
k79_33024	
k79_753	
k79_33025	
k79_754	
k79_33026	2;74201;203494;48461;1647988;239934;2927224
k79_23676	2;1239;186801;186802;216572;1263;2564099
k79_28263	
k79_755	
k79_23677	2;1239;186801;3085636;186803;3342669;45851
k79_33027	2;1239;186801;186802;216572;1263;2564099
k79_23678	2;976;200643;171549;815;816;28111
k79_28264	
k79_33028	
k79_756	2;976;200643;171549;815;816;28111
k79_28265	
k79_33029	2;1239;186801;3085636;186803;2569097;39488
k79_28266	
k79_757	
k79_5332	
k79_5333	
k79_33030	2;976;200643;171549;815;909656;821
k79_10073	2;1239;186801;3085636;186803;3342669;45851
k79_23679	2;1239;186801;3085636;186803;2569097;39488
k79_5334	2;1239;186801;186802;216572;1263;2564099
k79_28267	2;1239;186801;3085636;186803;207244;649756
k79_33031	2;1239;186801;3085636;186803;2569097;39488
k79_5335	
k79_33032	2;1239;186801;3085636;186803;189330;88431
k79_5336	2;976;200643;171549;815;816;820
k79_23680	2;976;200643;171549;815;816;820
k79_5337	
k79_23681	2;976;200643;171549;815;816;820
k79_10074	2;976;200643;171549;815;909656;821
k79_23682	2;1239;186801;3085636;186803;207244;649756
k79_5338	
k79_10075	2;976;200643;171549;815;816;820
k79_23683	2;1239;186801;186802;216572;1263;2564099
k79_10076	2;976;200643;171549;815;909656;821
k79_33033	2;1239;186801;186802;31979;1485;36745
k79_23684	2;976;200643;171549;171550;239759;328814;717959
k79_33034	2;976;200643;171549;815;816
k79_23685	2;976;200643;171549;815;816;820
k79_23686	2;1239;909932;1843489;31977;39948;2582419
k79_5339	
k79_33035	2;1239;186801;3085636;186803;2569097;39488
k79_5340	2;1239;186801;186802;216572;1263;2564099
k79_23687	2;1239;186801;3085636;186803;2569097;39488
k79_10077	2;1239;186801;3085636;186803;2316020;33039;657313
k79_33036	2;1239;186801;186802;216572;1263;2564099
k79_28268	2;1239
k79_10078	2;1239;186801;186802;216572;216851
k79_5341	2;1239;186801;3085636;186803;189330;88431
k79_28269	
k79_10079	2;976;200643;171549;815;816
k79_23688	
k79_28270	2;976;200643;171549;815;909656;821
k79_14419	2;1239;91061;186826;1300;1301;1307
k79_19185	2;1239;186801;3085636;186803;189330;88431
k79_10080	
k79_14420	
k79_19186	2;976;200643;171549;171550;239759
k79_5342	2;1239;186801;3085636;186803;2569097;39488
k79_19187	
k79_10081	2;1239;186801;3085636;186803;2569097;39488
k79_10082	2;976;200643;171549;815;816;820
k79_5343	2;1239;186801;3085636;186803;2569097;39488
k79_14421	2;976;200643;171549;815;909656;821
k79_5344	
k79_5345	2;1239;186801;3085636;186803;2944152;2763670
k79_19188	2;976;200643;171549;2005525;375288;823
k79_14422	2;1239;186801;186802;216572;1263;2564099
k79_5346	2;1239;186801;3085636;186803;207244;649756
k79_33037	2;1239;186801;186802;31979;1485;1522
k79_10083	2;544448;31969;186329;2146;33926;3042590
k79_19189	
k79_33038	2;976;200643;171549;815;909656;821
k79_10084	2;976;200643;171549;815;816;820
k79_10085	2;1239;186801;3085636;186803;2569097;39488
k79_33039	2;74201;203494;48461;1647988;239934;239935
k79_19190	2;1239;186801;186802;216572;1263;2564099
k79_33040	2;976;200643;171549;815;909656
k79_14423	
k79_33041	
k79_10086	
k79_5347	2;976;200643;171549;815;816;820
k79_10087	
k79_33042	2;1239;186801;3085636;186803;189330;88431
k79_19191	2;1239;186801;186802;216572;1263;2564099
k79_33043	
k79_19192	
k79_5348	2;976;200643;171549;815;909656;821
k79_10088	
k79_5349	
k79_10089	2;1239;186801;186802;216572;216851;2929489
k79_19193	2;1239;186801;3085636;186803;189330;88431
k79_33044	2;1239;186801;3085636;186803;207244;649756;649757
k79_14424	
k79_19194	2;976;200643;171549;815;909656
k79_10090	2;976;200643;171549;815;909656;821
k79_33045	2;1239;186801;3085636;186803;2569097;39488
k79_14425	2;976;200643;171549;815;816;820
k79_33046	
k79_19195	2;1239;186801;186802;216572;1263;2564099
k79_14426	2;976;200643;171549;815;816;28111
k79_33047	
k79_758	2;976;200643;171549
k79_10091	
k79_14427	2;976;200643;171549;815;816;820
k79_10092	
k79_5350	2;976;200643;171549;815;816;817
k79_14428	
k79_10093	2;1239;186801;3085636;186803;572511;89014
k79_14429	2;976;200643;171549;2005525;375288;46503
k79_10094	2;1239;186801;3085636;186803;2569097;39488
k79_33048	
k79_14430	2;976;200643;171549;815;909656;821
k79_5351	
k79_33049	2;1239;186801;186802;216572;946234;292800
k79_14431	2;74201;203494;48461;1647988;239934;239935
k79_10095	2;32066;203490;203491;203492;848;155615
k79_33050	
k79_33051	2;976;200643;171549;815;816
k79_759	2;1239;186801;186802;216572;1263;2564099
k79_5352	2;976;200643;171549;815;909656;821
k79_33052	
k79_14432	2;976;200643;171549;815;909656;821
k79_760	2;976;200643;171549;815;816;820
k79_10096	2;1239;186801;186802;216572;1508657
k79_5353	2;976;200643;171549;815;816
k79_33053	2;976;200643;171549;815;909656;821
k79_14433	2;976;200643;171549;815;909656;821
k79_761	2;976;200643;171549;815;909656;821
k79_5354	2;976;200643;171549;815;909656;357276
k79_14434	
k79_5355	2;1239;186801;3085636;186803;2569097;39488
k79_28271	2;976;200643;171549;815;816;820
k79_762	2;976;200643;171549;2005525;375288;46503
k79_14435	
k79_33054	2;1239;186801;3085636;186803;2569097;39488
k79_10097	
k79_28272	2;1239;186801;186802;186806;1730;39496
k79_5356	
k79_763	2;1239;186801;3085636;186803;207244;649756
k79_10098	
k79_19196	
k79_14436	2;1239;186801;186802;216572;1263;2564099
k79_28273	2;1239;186801;186802;216572;1263;2564099
k79_764	
k79_14437	2;1239;186801;3085636;186803;207244;649756
k79_28274	2;1239;186801;186802;216572;1263;2564099
k79_765	2;1239;186801;3085636;186803;207244;649756
k79_14438	2;976;200643;171549;815;816;820
k79_5357	2;1239;91061;1385;90964;2803850;3034233
k79_5358	
k79_28275	2;976;200643;171549;815;909656;821
k79_766	2;1239;186801;3085636;186803;2569097;39488
k79_14439	2;976;200643;171549;815;909656;821
k79_28276	2;976;200643;171549;815;816
k79_19197	2;1239;186801;3085636;186803;3342669;45851
k79_14440	2;1239;909932;1843489;31977;39948;2161821
k79_19198	2;976;200643;171549;815;816;820
k79_28277	2;1239;186801;3085636;186803;2569097;39488
k79_19199	2;1239;186801;3085636;186803;2569097;39488
k79_14441	2;976;200643;171549;815;909656
k79_767	2
k79_5359	2;976;200643;171549;815;816;820
k79_28278	
k79_19200	2;1239;186801;3085636;186803;2569097;39488
k79_5360	2;1239;186801;186802;31979;1266;2726954
k79_28279	
k79_19201	2;976;200643;171549;815;909656;821
k79_768	2;1239;186801;186802;216572;2892396;2714355
k79_28280	
k79_5361	2;1239;186801;3085636;186803;207244;649756
k79_23689	2;1239;186801;186802;216572;1263;2564099
k79_28281	
k79_769	
k79_5362	
k79_19202	2;1239;186801;186802;216572;1263;2564099
k79_28282	2;1239;186801;186802;216572;2892396;2714353
k79_23690	
k79_5363	
k79_19203	2;1239;186801;3085636;186803;2569097;39488
k79_770	2;1239;186801;186802;216572;1263;2564099
k79_23691	
k79_19204	
k79_771	
k79_23692	
k79_28283	2;1239;186801;3085636;186803;2569097;39488
k79_19205	2;1239;186801;3085636;186803;2569097;39488
k79_23693	2;976;200643;171549;2005525;375288;46503
k79_772	
k79_28284	
k79_773	2;1239;186801;3085636;186803;2569097;39488
k79_19206	
k79_28285	
k79_14442	
k79_23694	2;976;200643;171549;815;816;371601
k79_774	2;1239;186801;3085636;186803;2569097;39488
k79_19207	2;976;200643;171549;815;816;820
k79_28286	2;976;200643;171549
k79_23695	2;1239;186801;3085636;186803;2569097;39488
k79_23696	
k79_19208	2;1239;186801;3085636;186803;207244;649756
k79_19209	2;976;200643;171549;815;909656;821
k79_23697	2;976;200643;171549;815;909656;821
k79_5364	2;1239;186801;186802;31979;1485
k79_775	
k79_23698	2;1239;909932;1843489;31977;39948;2582419
k79_776	2;976;200643;171549;815
k79_5365	2;976;200643;171549;815;909656;821
k79_19210	2;1239;186801;3085636;186803;2569097;39488
k79_777	2;1239;186801;186802;216572;216851;2929489
k79_19211	2;1239;186801;186802;216572;216851
k79_5366	
k79_23699	2;976;200643;171549;815;909656;821
k79_28287	2;1239;186801;3085636;186803;207244;649756
k79_5367	
k79_778	2;1239;186801;3085636;186803;572511;89014
k79_19212	2;1239;186801;3085636;186803;207244;649756
k79_28288	2;1239;186801;3085636;186803;2719313;208479
k79_23700	
k79_19213	
k79_23701	2;1239;186801;3085636;186803;207244;649756
k79_28289	
k79_19214	2;976;200643;171549;815;909656;821
k79_33055	2;976;200643;171549;815;909656;821
k79_23702	
k79_19215	2;1239;186801;186802;216572;1263;2564099
k79_33056	2;976;200643;171549;815;816
k79_23703	
k79_28290	2;976;200643;171549;815;909656;821
k79_19216	2;976;200643;171549;815;909656;821
k79_23704	2;976;200643;171549;815;909656;821
k79_33057	
k79_28291	2;976;200643;171549;815;909656;821
k79_19217	2;976;200643;171549;815;816;820
k79_5368	2;1239;186801;186802;2937909;36853;36854;756499
k79_28292	2;976;200643;171549;815;909656;821
k79_33058	2;1239;186801;3085636;186803;207244;649756;649757
k79_19218	2;1239;186801;186802;216572;1263;2564099
k79_23705	2;1239;186801;3085636;186803;2569097;39488
k79_5369	2;1239
k79_28293	
k79_33059	2;976;200643;171549;815;909656;821
k79_19219	
k79_23706	
k79_28294	
k79_19220	2;976;200643;171549;815;816;820
k79_33060	2;1239;186801;186802
k79_28295	2;1239;186801;3085636;186803;189330;88431
k79_23707	2;1239;186801;3085636;186803;207244;649756
k79_779	2;1239
k79_19221	
k79_28296	2;976;200643;171549;815;909656;821
k79_780	
k79_28297	2;1239;186801;3085636;186803;2569097;39488
k79_23708	
k79_5370	2;1239;186801;186802;216572;1263;2564099
k79_781	2;1239;186801;3085636;186803;33042;33043
k79_19222	2;976;200643;171549;815;909656;387090
k79_33061	2;1239;186801;3085636;186803;207244;649756
k79_782	
k79_5371	
k79_14443	2;1239;186801;3085636;186803;2569097;39488
k79_33062	
k79_28298	131567
k79_14444	2;1239;186801;3085636;186803;207244;649756
k79_5372	
k79_19223	
k79_33063	2;976;200643;171549;815;816;820
k79_783	2;976;200643;171549;815;816;820
k79_19224	
k79_5373	2;1239;186801;186802;216572;1263;2564099
k79_28299	2;1239;186801;186802;216572;2892396;2714353
k79_784	
k79_33064	
k79_5374	
k79_28300	2;976;200643;171549;815;909656;821
k79_14445	2;1239;186801;186802;216572;459786;2109687
k79_33065	2;1239;186801;3085636;186803;189330;88431
k79_5375	
k79_28301	2;74201;203494;48461;1647988;239934;239935
k79_33066	
k79_14446	
k79_5376	
k79_10099	2;1239;186801;3085636;186803;3342669;45851
k79_33067	
k79_14447	2;1239;186801;3085636;186803;2569097;39488
k79_5377	2;976;200643;171549;171550;239759
k79_10100	
k79_28302	
k79_14448	2;976;200643;171549;815;816
k79_5378	2;976;200643;171549;2005525;375288;46503
k79_10101	2;1239;186801;186802;216572;1263;2564099
k79_19225	
k79_14449	
k79_28303	2;976;200643;171549;815;909656;821
k79_33068	
k79_5379	
k79_10102	2;1239;186801;3085636;186803;2569097;39488
k79_14450	
k79_10103	2;1239;186801;3085636;186803;2569097;39488
k79_33069	2;1239;186801;3085636;186803
k79_28304	
k79_14451	
k79_10104	2;1239;186801
k79_19226	2;976;200643;171549;815;909656;821;435590
k79_14452	
k79_5380	2;1239;186801;186802;216572;1263;2564099
k79_28305	2;1239;186801;3085636;186803;207244;649756
k79_5381	
k79_33070	2;1239;186801;3085636;186803;2569097;39488
k79_10105	2;1239;186801;186802;216572;1263;2564099
k79_23709	
k79_5382	
k79_28306	2;976;200643;171549;815;816;28116
k79_10106	
k79_5383	
k79_23710	
k79_33071	
k79_28307	
k79_10107	
k79_33072	2;976;200643;171549;815;816;820
k79_28308	2;1239;186801;3085636;186803;189330;88431
k79_33073	2;976;200643;171549;815;909656;821
k79_28309	2;976;200643;171549
k79_10108	
k79_28310	2;1239;186801;3085636;186803;207244;649756
k79_33074	2;976;200643;171549;2005525;375288;46503
k79_23711	2;976;200643;171549;815;816;820
k79_23712	2;1239;186801;3085636;186803;2569097;39488
k79_33075	
k79_10109	
k79_5384	
k79_23713	
k79_28311	
k79_10110	
k79_23714	2;1239;186801;186802;216572;1263;2564099
k79_33076	2;976;200643;171549;815;909656;821
k79_5385	
k79_10111	2;1239;186801;3085636;186803;207244;649756
k79_5386	2;976;200643;171549;815;816
k79_23715	2;1239;186801;3085636;186803;207244;649756
k79_10112	
k79_5387	2
k79_23716	2;976;200643;171549;815;909656;821
k79_10113	
k79_33077	2;1239;186801;3085636;186803;2569097;39488
k79_5388	
k79_28312	2;976;200643;171549;815
k79_10114	
k79_5389	2;1239;186801;3085636;186803;207244;649756
k79_33078	2;1239;186801;3085636;186803;2569097;39488
k79_10115	2;976;200643;171549;815;816;820
k79_33079	
k79_10116	2;1239;91061;1385
k79_33080	2;976;200643;171549;815;816;820
k79_23717	2;976;200643;171549;815;816;820
k79_10117	
k79_5390	2;976;200643;171549;815;816;820
k79_10118	
k79_23718	2;1239;186801;3085636;186803;207244;649756;649757
k79_33081	2;976;200643;171549;815;909656;821
k79_5391	
k79_28313	131567
k79_33082	
k79_5392	2;976;200643;171549;815;816;820
k79_28314	2;976;200643;171549;815
k79_10119	2;976;200643;171549;815;909656;821
k79_5393	2;1239;186801;3085636;186803;1766253;39491
k79_33083	2;1239;186801;3085636;186803;2569097;39488
k79_10120	2;1239;186801;3085636;186803;2569097;39488
k79_28315	2;1239;186801;3085636;186803;2569097;39488
k79_23719	2;1239;186801;186802;216572;216851;853;657322
k79_10121	2;976;200643;171549;815;816;820
k79_33084	2;976;200643;171549;815;909656;821
k79_28316	
k79_23720	2;1239;186801;3085636;186803;207244;649756
k79_33085	
k79_5394	2;976;200643;171549;815;909656;821
k79_33086	
k79_23721	
k79_33087	
k79_5395	
k79_33088	2;976;200643;171549;815;909656;821
k79_10122	2;1239;186801;186802;216572;2892396;2714353
k79_33089	2;1239;186801;3085636;186803;572511;2479767
k79_23722	
k79_19227	2;976;200643;171549;815;816;820
k79_5396	2;976;200643;171549;815;816;47678
k79_33090	2;976;200643;171549;815;909656;821
k79_23723	
k79_33091	2;1239;186801;3085636;186803;2569097;39488
k79_28317	2;1239;186801;186802;216572;216851;853;718252
k79_33092	2;976;200643;171549;815;816;817
k79_19228	
k79_5397	2;976;200643;171549;815;909656;821
k79_28318	
k79_33093	2;976;200643;171549;815;909656;821
k79_19229	
k79_5398	
k79_23724	2;1239;186801;3085636;186803;2569097;39488
k79_19230	2;1239;186801;186802;216572;216851;853;657322
k79_33094	2;1239;186801;3085636;186803;207244;649756
k79_5399	2;976;200643;171549;815;909656;821
k79_785	2;1239;186801;186802;216572;1263;2564099
k79_28319	2;976;200643;171549;815;816;820
k79_19231	
k79_23725	
k79_33095	2;1239;186801;186802;216572;1263;2564099
k79_23726	
k79_5400	
k79_19232	
k79_33096	
k79_28320	
k79_19233	2;976;200643;171549;2005525;375288;46503
k79_786	2;1239;186801;186802;31979;1485;1502
k79_10123	2;976;200643;171549;815;816
k79_19234	2;1239;91061;186826;81852;1350
k79_10124	
k79_5401	2;1239;186801;186802;216572;459786;2763056
k79_10125	
k79_28321	
k79_5402	
k79_33097	2;976;200643;171549
k79_787	2;1239;186801;3085636;186803;572511;1796616
k79_19235	2;976;200643;171549;2005525;375288;46503
k79_28322	2;1239;186801;186802;216572;2892396;2714353
k79_33098	2;976;200643;171549;815;909656;821
k79_788	
k79_5403	2;1239;91061
k79_33099	2;1239;186801;3085636;186803;572511;89014
k79_789	
k79_23727	2;1239;186801;3085636;186803;207244;649756
k79_19236	2;976;200643;171549;815;909656;821
k79_33100	2;976;200643;171549;815;909656;821
k79_5404	2;1239;186801;3085636;186803;2569097;39488
k79_23728	2;1239;186801;186802;216572;1263;2564099
k79_790	2;1239;91061;1385;186817;74385;2932256
k79_19237	2;976;200643;171549;815;909656;821
k79_33101	2;1239;186801;3085636;186803;2569097;39488
k79_5405	2;1239;186801;3085636;186803;189330;88431
k79_791	
k79_14453	
k79_792	2;976;200643;171549;815;816
k79_33102	2;976;200643;171549;815;816
k79_5406	2;1239;186801;3085636;186803;2569097;39488
k79_14454	
k79_793	
k79_794	2;976;200643;171549;2005525;375288;46503
k79_14455	2;1239;186801;3085636;186803;572511
k79_33103	2;1239;186801;3085636;186803;189330;88431
k79_795	2;1239;186801;186802;216572;1263;2564099
k79_19238	
k79_5407	2;1239;526524;526525;2810280;135858;100886
k79_14456	2;976;200643;171549;815;816;820
k79_796	2;1239;186801;186802;216572;2892396;2714353
k79_5408	
k79_14457	
k79_33104	2;976;200643;171549;815;909656;821
k79_797	
k79_19239	2;976;200643;171549;815;909656;821
k79_14458	2;976;200643;171549;815;816;28111
k79_33105	2;976;200643;171549;815;909656
k79_798	2;1239;909932;909929;1843491;158846;437897
k79_5409	2;1239;186801;3085636;186803;207244;649756;649757
k79_14459	2;976;200643;171549;815;909656;821
k79_33106	
k79_5410	
k79_799	
k79_5411	
k79_33107	2;976;200643;171549;815;909656;821
k79_800	2;1239;186801;3085636;186803;2944152;2763670
k79_14460	2;1239;186801;3085636;186803;572511;418240;1121115
k79_5412	
k79_33108	
k79_801	2;976;200643;171549;815;909656;357276;997877
k79_14461	2;976;200643;171549;815;816;820
k79_19240	2;976;200643;171549;815;816;2755405
k79_5413	
k79_14462	2;976;200643;171549;815;816
k79_33109	2;976;200643;171549;2005525;375288;46503
k79_5414	2;976;200643;171549;815;816;820
k79_802	
k79_5415	2;1239;186801;3085636;186803;207244;649756
k79_19241	
k79_33110	2;1239;186801;186802;216572;1508657;2488810
k79_5416	2;1239;186801;186802;216572;1263;2564099
k79_19242	
k79_33111	2;1239;186801;3085636;186803;207244;649756
k79_803	
k79_5417	2;976;200643;171549;815;816
k79_19243	
k79_804	
k79_14463	
k79_10126	2;1239
k79_19244	
k79_14464	2;976;200643;171549;815;909656;821
k79_14465	2;1239;186801;186802;216572;216851;853
k79_10127	2;1239;186801;186802;216572;1263;2564099
k79_805	2;976;200643;171549;815;816;820
k79_33112	2;1224;28216;80840;119060;1822464
k79_19245	2;1239;186801;186802;216572;1263;2564099
k79_5418	
k79_10128	2
k79_19246	2;1239;186801;3085636;186803;207244;649756
k79_33113	
k79_806	2;1239;186801;186802;216572;1263;2564099
k79_5419	
k79_10129	
k79_807	2;1239;186801
k79_5420	2;1239;186801;3085636;186803;207244;649756
k79_10130	2;1239;909932;1843489;31977;39948;2161821
k79_19247	2;1239;186801;3085636;186803;189330
k79_5421	2;976;200643;171549;815;909656;821
k79_33114	
k79_808	2;976;200643;171549;815;909656;821
k79_5422	
k79_809	2;1224;1236;91347;3120698;745410;2291597
k79_33115	2;976;200643;171549;815;816;820
k79_5423	2;1239
k79_10131	2;1239;186801;186802;216572;1263;2564099
k79_810	2;1239;91061;1385;186817;1386;2026187
k79_19248	2;976;200643;171549;815;816;820
k79_5424	
k79_10132	
k79_33116	2;976;200643;171549;815;816;820
k79_19249	
k79_33117	2;1239;186801;186802;216572;1263;2564099
k79_28323	
k79_10133	2;976;200643;171549;815;909656;821
k79_28324	2;1239;186801
k79_10134	
