task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
51	10/4fedc1	973691	CONTIG_TAXONOMY:BRACKEN (ERR011349-MEGAHIT)	COMPLETED	0	2026-05-25 16:06:21.420	1.1s	90ms	103.2%	7 MB	19.5 MB	2.3 MB	12.1 KB
52	72/3c5216	974085	CONTIG_TAXONOMY:BRACKEN (ERR011348-MEGAHIT)	COMPLETED	0	2026-05-25 16:06:22.474	1.1s	104ms	101.1%	22.8 MB	45.6 MB	2.4 MB	21.9 KB
56	12/28b84e	974411	CONTIG_TAXONOMY:COMBINE_BRACKEN_OUTPUTS (contigs)	COMPLETED	0	2026-05-25 16:06:24.545	1.4s	47ms	95.2%	18 MB	35.1 MB	1.3 MB	8.9 KB
55	23/33d3f7	974538	CONTIG_TAXONOMY:BRACKEN_SUMMARY (contigs)	COMPLETED	0	2026-05-25 16:06:25.245	2.5s	1.1s	141.9%	24.4 MB	2.2 GB	21.4 MB	4.9 KB
44	77/80b27e	968943	ASSEMBLY_SHORT:QUAST_CONTIGS (ERR011348-MEGAHIT)	COMPLETED	0	2026-05-25 16:05:49.958	46.5s	45.6s	105.5%	467.8 MB	2.9 GB	828.6 MB	70.9 MB
46	21/edd9f3	976160	CONTIG_TAXONOMY:KRONA_K2_IMPORT_TAXONOMY (ERR011347)	COMPLETED	0	2026-05-25 16:06:36.468	4.7s	3.7s	100.0%	952.5 MB	966.2 MB	142.1 MB	1.5 MB
50	4a/19e924	976618	CONTIG_TAXONOMY:KRONA_K2_IMPORT_TAXONOMY (ERR011349)	COMPLETED	0	2026-05-25 16:06:41.192	4.5s	3.4s	100.4%	965.8 MB	980 MB	142 MB	1 MB
53	3b/652bc5	977080	CONTIG_TAXONOMY:KRONA_K2_IMPORT_TAXONOMY (ERR011348)	COMPLETED	0	2026-05-25 16:06:45.672	4.4s	3.4s	100.9%	966.4 MB	980.2 MB	142.1 MB	1.9 MB
49	ee/2190fc	977644	CONTIG_TAXONOMY:TAXCONVERTER (ERR011349-MEGAHIT)	COMPLETED	0	2026-05-25 16:06:53.992	6.2s	5.2s	107.1%	668.5 MB	1.3 GB	101.4 MB	3.1 MB
54	fc/2b6a28	977639	CONTIG_TAXONOMY:TAXCONVERTER (ERR011348-MEGAHIT)	COMPLETED	0	2026-05-25 16:06:53.989	7.1s	6.1s	105.4%	639.3 MB	1.3 GB	198.5 MB	88.8 MB
47	37/a7a0bc	977638	CONTIG_TAXONOMY:TAXCONVERTER (ERR011347-MEGAHIT)	COMPLETED	0	2026-05-25 16:06:53.986	7.2s	6.1s	108.6%	638.6 MB	1.3 GB	111 MB	8 MB
61	1d/dab2ad	978955	BINNING_PREPARATION:RENAME_SOLO_TAXONOMY (ERR011348-MEGAHIT)	COMPLETED	0	2026-05-25 16:07:01.192	76ms	5ms	145.5%	0	0	76.7 KB	208 B
59	a5/a7beb1	978967	BINNING_PREPARATION:RENAME_SOLO_CONTIGS (ERR011347)	COMPLETED	0	2026-05-25 16:07:01.198	75ms	6ms	72.7%	0	0	76.7 KB	207 B
57	ae/c95e98	978958	BINNING_PREPARATION:RENAME_SOLO_CONTIGS (ERR011349)	COMPLETED	0	2026-05-25 16:07:01.195	78ms	5ms	145.5%	0	0	76.7 KB	208 B
62	35/f2096f	978974	BINNING_PREPARATION:RENAME_SOLO_TAXONOMY (ERR011347-MEGAHIT)	COMPLETED	0	2026-05-25 16:07:01.201	74ms	5ms	152.4%	0	0	76.7 KB	208 B
60	95/43956d	978994	BINNING_PREPARATION:RENAME_SOLO_TAXONOMY (ERR011349-MEGAHIT)	COMPLETED	0	2026-05-25 16:07:01.204	76ms	6ms	61.5%	0	0	76.7 KB	207 B
58	d6/0cfbe7	979021	BINNING_PREPARATION:RENAME_SOLO_CONTIGS (ERR011348)	COMPLETED	0	2026-05-25 16:07:01.209	79ms	6ms	53.3%	0	0	76.7 KB	207 B
45	c4/50a0dc	973416	ASSEMBLY_SHORT:CONTIG_COVERAGE:COVERM_CONTIG (ERR011348-MEGAHIT)	COMPLETED	0	2026-05-25 16:06:20.224	47.7s	46.6s	421.0%	4.2 GB	6.2 GB	10.1 GB	7.9 GB
64	62/0494db	979614	BINNING_PREPARATION:MINIMAP2_ASSEMBLY_INDEX (ERR011349)	COMPLETED	0	2026-05-25 16:07:09.336	2.8s	1.8s	60.3%	154 MB	310.8 MB	20.9 MB	66.1 MB
63	a8/0e2090	979613	BINNING_PREPARATION:MINIMAP2_ASSEMBLY_INDEX (ERR011347)	COMPLETED	0	2026-05-25 16:07:09.334	3.1s	2.1s	117.1%	271.4 MB	598.9 MB	55.5 MB	174.9 MB
65	a8/d969e8	979611	BINNING_PREPARATION:MINIMAP2_ASSEMBLY_INDEX (ERR011348)	COMPLETED	0	2026-05-25 16:07:09.331	3.8s	2.9s	133.7%	561.9 MB	809.1 MB	82.5 MB	268 MB
67	81/21802c	980296	BINNING_PREPARATION:MINIMAP2_ASSEMBLY_ALIGNMENT (ERR011347-ERR011347)	COMPLETED	0	2026-05-25 16:07:20.467	49.9s	49s	412.8%	3.7 GB	12.6 GB	4 GB	3.1 GB
68	4b/f87ab3	981771	BINNING_PREPARATION:MINIMAP2_ASSEMBLY_ALIGNMENT (ERR011348-ERR011348)	COMPLETED	0	2026-05-25 16:08:10.356	1m 6s	1m 5s	477.3%	7.5 GB	15.2 GB	5.8 GB	4.5 GB
66	43/eb95cf	983509	BINNING_PREPARATION:MINIMAP2_ASSEMBLY_ALIGNMENT (ERR011349-ERR011349)	COMPLETED	0	2026-05-25 16:09:16.394	28.2s	27.4s	434.6%	2.3 GB	11.4 GB	2.5 GB	1.9 GB
71	89/31e08f	984744	BINNING:JGISUMMARIZEBAMCONTIGDEPTHS (ERR011349-MEGAHIT)	COMPLETED	0	2026-05-25 16:09:55.609	15.4s	14.4s	102.1%	19.2 MB	150.1 MB	450.2 MB	1.3 MB
69	6d/b6f755	984743	BINNING:JGISUMMARIZEBAMCONTIGDEPTHS (ERR011347-MEGAHIT)	COMPLETED	0	2026-05-25 16:09:55.606	35.7s	34.7s	101.1%	24 MB	155 MB	720 MB	3.5 MB
73	20/0c014b	987070	BINNING:VAMB_CONVERT_ABUNDANCE (ERR011349-MEGAHIT)	COMPLETED	0	2026-05-25 16:10:30.012	1.8s	647ms	227.9%	16.2 MB	1 GB	25.9 MB	2 MB
72	27/5fcd34	987242	BINNING:METABAT2 (ERR011349-MEGAHIT)	COMPLETED	0	2026-05-25 16:10:31.780	1.3s	251ms	216.4%	3.5 MB	11.2 MB	24.8 MB	20.1 MB
78	d1/a79ad4	987432	BINNING:VAMB_FILTER_TAXONOMY (ERR011349-MEGAHIT)	COMPLETED	0	2026-05-25 16:10:33.095	206ms	162ms	69.8%	14.2 MB	30.2 MB	23 MB	1.2 MB
77	cb/b00a4b	987428	BINNING:VAMB_CONVERT_ABUNDANCE (ERR011347-MEGAHIT)	COMPLETED	0	2026-05-25 16:10:33.090	1.9s	733ms	224.3%	19.5 MB	1.1 GB	30.2 MB	5.1 MB
75	0f/a9d0bc	987684	BINNING:METABAT2 (ERR011347-MEGAHIT)	COMPLETED	0	2026-05-25 16:10:34.969	1.7s	603ms	388.9%	11.1 MB	21 MB	66.1 MB	53.8 MB
81	77/53354f	987819	BINNING:VAMB_FILTER_TAXONOMY (ERR011347-MEGAHIT)	COMPLETED	0	2026-05-25 16:10:36.712	360ms	242ms	104.3%	16.1 MB	32 MB	60 MB	3.6 MB
70	49/cff68b	986084	BINNING:JGISUMMARIZEBAMCONTIGDEPTHS (ERR011348-MEGAHIT)	COMPLETED	0	2026-05-25 16:10:10.995	36.4s	35.3s	101.8%	23.8 MB	154.8 MB	999.3 MB	3.4 MB
85	e4/421dd2	988067	BINNING:VAMB_CONVERT_ABUNDANCE (ERR011348-MEGAHIT)	COMPLETED	0	2026-05-25 16:10:47.418	1.7s	703ms	229.6%	19.4 MB	1.1 GB	30 MB	5 MB
87	66/c51f10	988318	BINNING:VAMB_FILTER_TAXONOMY (ERR011348-MEGAHIT)	COMPLETED	0	2026-05-25 16:10:49.144	396ms	292ms	100.0%	16.4 MB	31.1 MB	86.9 MB	3.6 MB
84	d9/be86dc	988060	BINNING:METABAT2 (ERR011348-MEGAHIT)	COMPLETED	0	2026-05-25 16:10:47.365	3.4s	2.4s	599.2%	277.6 MB	771.9 MB	92.7 MB	81.4 MB
79	45/d60199	1058663	BIN_REFINEMENT:DASTOOL_FASTATOCONTIG2BIN (ERR011349-MEGAHIT-MetaBAT2)	COMPLETED	0	2026-05-25 16:16:02.891	3.6s	1.1s	106.8%	3.4 MB	9.7 MB	10.4 MB	37.1 KB
89	3a/3046dd	1058655	BIN_REFINEMENT:DASTOOL_FASTATOCONTIG2BIN (ERR011348-MEGAHIT-MetaBAT2)	COMPLETED	0	2026-05-25 16:16:02.887	3.6s	1.1s	129.0%	6.8 MB	19.6 MB	29.5 MB	352.5 KB
82	6a/aba042	1061669	BIN_REFINEMENT:DASTOOL_FASTATOCONTIG2BIN (ERR011347-MEGAHIT-MetaBAT2)	COMPLETED	0	2026-05-25 16:16:06.502	2.6s	451ms	261.6%	3.5 MB	9.7 MB	12 MB	107 KB
76	89/f5490d	988610	BINNING:METABINNER (ERR011347-MEGAHIT)	COMPLETED	0	2026-05-25 16:13:31.811	3m 20s	3m 19s	342.3%	1.8 GB	22.3 GB	18.6 GB	2 GB
90	00/514d03	1078280	BIN_REFINEMENT:DASTOOL_FASTATOCONTIG2BIN (ERR011347-MEGAHIT-MetaBinner)	COMPLETED	0	2026-05-25 16:16:52.874	2.2s	414ms	329.1%	3.5 MB	9.7 MB	13.6 MB	260 KB
74	f5/af0171	1078082	BINNING:METABINNER (ERR011349-MEGAHIT)	COMPLETED	0	2026-05-25 16:16:51.864	1m 41s	1m 40s	271.1%	1.4 GB	19.6 GB	9.3 GB	1.2 GB
91	5c/cf6c77	1122442	BIN_REFINEMENT:DASTOOL_FASTATOCONTIG2BIN (ERR011349-MEGAHIT-MetaBinner)	COMPLETED	0	2026-05-25 16:18:33.651	2.8s	981ms	116.7%	3.5 MB	9.7 MB	11.4 MB	100.5 KB
86	79/3282c7	988608	BINNING:METABINNER (ERR011348-MEGAHIT)	COMPLETED	0	2026-05-25 16:13:31.808	8m 31s	8m 30s	502.7%	2.4 GB	22.5 GB	56.9 GB	7.1 GB
92	d0/31661e	1209686	BIN_REFINEMENT:DASTOOL_FASTATOCONTIG2BIN (ERR011348-MEGAHIT-MetaBinner)	COMPLETED	0	2026-05-25 16:22:04.111	2.2s	400ms	375.5%	6.9 MB	19.6 MB	28.3 MB	652.6 KB
83	5b/e949ae	1209572	BINNING:VAMB_BIN (ERR011347-MEGAHIT)	COMPLETED	0	2026-05-25 16:22:03.106	1m 59s	1m 58s	878.5%	1.8 GB	22.4 GB	306.6 MB	46.2 MB
93	91/2150e4	1215964	BIN_REFINEMENT:DASTOOL_FASTATOCONTIG2BIN (ERR011347-MEGAHIT-TaxVamb)	COMPLETED	0	2026-05-25 16:24:03.487	13.7s	10.3s	180.7%	7 MB	19.7 MB	81.5 MB	1.7 MB
