contigs	predictions
k79_48749	2759;7711;40674;9443;9604;9605;9606
k79_36562	
k79_12199	2;1239;186801;186802;216572;1263;1160721
k79_48750	
k79_36563	2;1239;186801;3085636;186803;572511;89014
k79_48751	
k79_12200	
k79_73105	
k79_85267	2;1239;186801;3085636;186803;1766253;39491;657317
k79_36564	2;1239;186801;3085636;186803;207244;649756
k79_48752	2;1239;186801;186802;216572;216851;853
k79_73106	2;1239;186801;3085636;186803;189330;88431
k79_12201	2;1239;186801;3085636;186803;1766253;39491;657317
k79_60924	2;1239;186801;186802;216572;1263;1160721
k79_36565	2;1239;909932;1843488;909930;33024;33025
k79_12202	2;976;200643;171549;1853231;283168;28118
k79_36566	2;976;200643;171549;1853231;283168;28118
k79_48753	2;1783272
k79_85268	2;976;200643;171549;2005525;375288
k79_73107	2;976;200643;171549;2005525;375288;823
k79_60925	2;1239;186801;3085636;186803;189330;88431
k79_36567	2;976;200643;171549;815;909656;821
k79_12203	2;976;200643;171549;2005525;375288
k79_48754	2;1239;186801;3085636;186803;841;301301
k79_60926	
k79_36568	
k79_48755	2;1239;186801;3085636;186803;2569097;39488
k79_85269	2;1239;186801;3085636;186803;2316020;46228;471875
k79_36569	2;1239;186801;3085636;186803;207244;649756
k79_60927	
k79_73108	2;976;200643;171549;815;909656;821
k79_85270	2;976;200643;171549;815;909656;821
k79_36570	2;1239;186801;186802;216572;1263;1160721
k79_73109	2;1239;186801;3085636;186803;207244;649756
k79_12204	2;1239;186801;3085636;186803;1766253;39491
k79_60928	2;1239;186801;3085636;186803;2316020;33039;657313
k79_85271	
k79_36571	2;976;200643;171549;815;909656;821
k79_12205	2;1239;186801;3085636;186803;1766253;39491;657317
k79_85272	2;1239;186801;3085636;186803;2316020;33039;657313
k79_36572	2;976;200643;171549;815;909656;821
k79_48756	
k79_12206	2;1239;186801;3085636;186803;572511;418240;1121115
k79_73110	2;1239;526524;526525;2810280;2678885;1982626
k79_85273	2;976;200643;171549;815;909656;387090
k79_36573	2;976;200643;171549;2005525;375288;46503
k79_12207	2;1239;186801;3085636;186803;1506553;29347
k79_85274	2;1239;909932;1843488;909930;33024;33025
k79_36574	2;1239;186801;3085636;186803;572511;40520;657314
k79_12208	2;976;200643;171549;1853231;283168;28118
k79_85275	2;1239;186801;3085636;186803;189330;88431
k79_36575	2;1239;186801;3085636;186803;572511;40520;411459
k79_73111	2;976;200643;171549;2005525;375288;2951805
k79_73112	2;1239;186801;3085636;186803;33042;410072
k79_60929	2;1239;526524;526525;2810280;2678885;1982626
k79_22	
k79_24376	2;1239;526524;526525;2810280;2678885;1982626
k79_23	2;976;200643;171549;815;816;818
k79_12209	2;1239;186801;3085636;186803;572511;418240;1121115
k79_36576	
k79_73113	2;1239;186801;186802;186806;1730;39496
k79_36577	2;1239;186801;3085636;186803;1766253;39491;657317
k79_24377	2;1239;186801;3085636;186803;207244;649756
k79_73114	2;1239;186801;3085636;186803;2316020;46228;471875
k79_12210	2;976;200643;171549
k79_73115	2;976;200643;171549;171552;2974251
k79_24378	2;1239;186801;3085636;186803;572511;418240;1121115
k79_12211	
k79_24379	2;1239;186801;3085636;186803;572511;418240;1121115
k79_36578	2;976;200643;171549;815;816;28111
k79_24	2;1239;526524;526525;2810280;2678885;1982626
k79_73116	
k79_12212	2157;28890;183925;2158;2159;2172;2173
k79_85276	2;976;200643;171549;815;816;820
k79_12213	
k79_24380	2;1239;186801;3085636;186803;207244;649756;649757
k79_85277	2157;28890;183925;2158;2159;2172;2173
k79_12214	2;1239;909932;1843488;909930;33024;33025
k79_85278	2;1239;186801;3085636;186803;2316020;33039
k79_24381	2;1239;186801;186802;186806;1730;39496
k79_36579	2;1239;186801;3085636;186803;572511;418240;1121115
k79_12215	2;1239;186801;3085636;186803;2316020;33039;657313
k79_85279	
k79_24382	2;1239;186801;3085636;186803;572511;2479767
k79_36580	2;976;200643;171549;815;909656;821
k79_12216	
k79_24383	2;976;200643;171549;2005525;375288;823
k79_12217	
k79_85280	2;976;200643;171549;2005525;375288
k79_24384	2;1239;186801;186802;186806;1730;39496
k79_85281	2;1239;186801;3085636;186803;189330;88431
k79_12218	2;1239;186801;3085636;186803;1766253;39491
k79_85282	
k79_60930	2;976;200643;171549;815;909656;357276
k79_24385	2;1239;186801;186802;216572;216851
k79_60931	2;1239;186801;3085636;186803;207244;649756
k79_73117	2;976;200643;171549;815;816;246787
k79_60932	2;1239;186801;3085636;186803;1766253;39491;657318
k79_24386	
k79_73118	
k79_60933	2;1239;186801;3085636;186803;189330;88431
k79_24387	2;1239;186801;3085636;186803;207244;649756
k79_12219	2;1239;186801;3085636;186803;1766253;39491;657318
k79_12220	2;1239;186801;3085636;186803;572511;40520;657314
k79_36581	2;1239;186801
k79_73119	2;1239;186801;3085636;186803;33042;410072
k79_60934	2;1239;909932;1843488;909930;33024;33025
k79_36582	2;976;200643;171549;815;909656;821
k79_73120	2;1239;186801;3085636;186803;2316020;33039
k79_85283	2;976;200643;171549;815;816;477666
k79_85284	2;1239;186801;3085636;186803;207244;649756
k79_36583	2;1239;186801;186802;186806;1730;39496
k79_48757	
k79_73121	2;1239;186801;3085636;186803;207244;649756
k79_48758	
k79_73122	2;1239;186801;186802;186806;1730;39496
k79_85285	2;1239;186801;3085636;186803;207244;649756
k79_48759	2;976;200643;171549;815;909656;821
k79_73123	2;1239;186801;186802;216572;216851
k79_85286	
k79_36584	
k79_48760	2;1239;186801;3085636;186803;1766253;39491
k79_24388	2;1239;186801;3085636;186803;572511;418240;1121115
k79_36585	2;1239;186801;3085636;186803;207244;649756
k79_73124	2;1239;186801;3085636;186803;572511;89014
k79_85287	
k79_48761	2;976;200643;171549;815;816;47678
k79_60935	
k79_24389	2;976;200643;171549;815;816
k79_85288	2;201174;1760;85004;31953;1678;1680
k79_36586	2;1239;186801;3085636;186803;2316020;33039
k79_24390	2;1239;186801;186802;216572;216851;2929492
k79_48762	2;1239;186801
k79_36587	2;1239;186801;3085636;186803;207244;649756
k79_24391	
k79_48763	2;976;200643;171549;2005525;375288;823
k79_60936	2;1239;186801;3085636;186803;572511;418240;1121115
k79_48764	
k79_60937	2;976;200643;171549;815;816;820
k79_36588	2;1239;526524;526525;2810280;135858;2478954
k79_85289	2;1239;186801;3085636;186803;3076670;3028070
k79_24392	2;1239;186801;3085636;186803;3031933;2709410
k79_73125	2;1239;186801;3085636;186803;2719231;29370;1297793
k79_85290	2;976;200643;171549;815;816;2715212
k79_36589	
k79_60938	
k79_24393	2;1239;186801;3085636;186803;572511;418240;1121115
k79_73126	
k79_24394	2;1239;186801;3085636;186803;33042;410072
k79_73127	2;1239;909932;1843488;909930;33024;33025
k79_85291	
k79_25	2;1239;186801;3085636;186803;572511;89014
k79_24395	2;1239;186801;3085636;186803;572511
k79_60939	
k79_26	
k79_36590	2;976;200643;171549;815;816;820
k79_60940	2;1239;186801;3085636;186803
k79_27	2759;7711;40674;9443;9604;9605;9606
k79_73128	
k79_28	
k79_73129	2;1239;186801;3085636;186803;572511;418240;1121115
k79_73130	2;976;200643;171549;2005525;375288;46503
k79_24396	2;976;200643;171549;815;909656;357276
k79_73131	
k79_36591	2;1239;186801;3085636;186803;1766253;39491;657318
k79_24397	2;1239;186801;186802;186806;1730;39496
k79_29	2;1239;186801;186802;186806;1730;39496
k79_73132	2;1239;186801;3085636;186803;572511;418240;1121115
k79_36592	2;1239;186801;3085636;186803;2316020;33039;657313
k79_24398	
k79_60941	2;976;200643;171549;2005525;375288;2951805
k79_85292	2;976;200643;171549;815;816;28111
k79_24399	2;1239;186801;3085636;186803;2569097;39488
k79_85293	2;1239;526524;526525;2810280;2678885;1982626
k79_85294	2;1239;186801;3085636;186803;2316020;46228;471875
k79_36593	2;976;200643;171549;815;909656;821
k79_73133	2;1239;526524;526525;2810280;2678885;1982626
k79_24400	
k79_36594	
k79_60942	
k79_36595	2;1239;186801;186802;186806;1730;39496
k79_73134	2;976;200643;171549;815;909656;821
k79_85295	2;976;200643;171549;815;816;820
k79_30	2;1239;186801;3085636;2603322;1348611;1185412
k79_36596	
k79_60943	2;976;200643;171549;2005525;375288;823
k79_85296	2;1239;186801;186802;216572;1263;2608920
k79_73135	
k79_36597	2;1239;186801;3085636;186803;2316020;33039;657313
k79_31	2;1239;526524;526525;2810280;2678885;1982626
k79_12221	2;1239;186801;3085636;186803;1766253;39491;657317
k79_60944	2;1239;186801;186802;216572;216851;2646395
k79_32	2;1239;186801;3085636;186803;2316020;46228;471875
k79_12222	2;976;200643;171549;815;909656;821
k79_60945	
k79_48765	
k79_85297	
k79_12223	2;1239;186801;186802;186806;1730;39496
k79_24401	2;976;200643;171549;815;816;820
k79_48766	
k79_85298	2;976;200643;171549;815;909656;821
k79_36598	
k79_12224	
k79_24402	2;976;200643;171549
k79_48767	2;1239;186801;3085636;186803;2569097;39488
k79_85299	2;1783272
k79_12225	2;1224;28211;766;775;780;114295
k79_60946	2;74201;203494;48461;1647988;239934;239935
k79_24403	2;976;200643;171549;2005525;375288;46503
k79_85300	
k79_48768	2;1239;186801;3085636;186803;2569097;39488
k79_60947	2;976;200643;171549;2005525;375288;823
k79_12226	2;976;200643;171549;815;909656;821
k79_85301	
k79_33	2;200940;3024418;213118;2931039;45654;45656
k79_24404	2;1239;186801;3085636;186803;572511;418240;1121115
k79_12227	2;1239;186801;3085636;186803;33042;410072
k79_34	
k79_60948	
k79_24405	2;976;200643;171549;2005525;375288
k79_35	
k79_48769	
k79_36	2;1239;186801;186802;186806;1730;39496
k79_12228	
k79_24406	2;1239;186801;3085636;186803;572511;418240;1121115
k79_12229	2157;28890;183925;2158;2159;2172;2173
k79_36599	2;976;200643;171549;2005525;375288;328812
k79_48770	2;1239;186801;3085636;186803;572511;418240;1121115
k79_24407	2;1239;186801;186802;216572;216851;853
k79_12230	2;976;200643;171549;815;816;820
k79_36600	
k79_60949	2;976;200643;171549;815;816
k79_37	2;1239;526524;526525;2810280;2678885;1982626
k79_12231	2;1239;186801;3085636;186803;207244;649756
k79_36601	2;1239;186801;3085636;186803;33042;410072
k79_24408	2;1239;186801;3085636;186803;1766253;39491
k79_12232	
k79_85302	2;976;200643;171549;815;816;820
k79_36602	2;976;200643;171549;815;816;820
k79_60950	2;976;200643;171549;2005525;375288
k79_85303	2;1239;186801;186802;216572;946234;292800
k79_36603	
k79_85304	2;1239;186801;3085636;186803;207244;649756
k79_60951	2;1239;186801;3085636;186803;2316020;33039;657313
k79_36604	
k79_12233	2;1224;1236;135614;1775411;1453544;2976241
k79_60952	2;976;200643;171549;2005525;375288
k79_38	2;1239;186801;3085636;186803;841;166486
k79_85305	2;976;200643;171549;815;816;820
k79_60953	
k79_39	2;976;200643;171549;2005525;375288;823
k79_36605	
k79_60954	2;1239;186801;3085636;186803;572511;2479767
k79_40	
k79_85306	2;1239;186801;186802;216572;1263;1160721
k79_60955	2;976;200643;171549;815;816;47678
k79_12234	2;1239;186801;3085636;186803;1766253;39491
k79_12235	2;1239;909932;1843488;909930;33024;33025
k79_60956	2;1239;186801;3085636;186803;572511;2479767
k79_85307	2;1239;186801;3085636;186803;2316020;33039;657313
k79_41	2;1239;186801;3085636;186803;572511;418240;1121115
k79_36606	
k79_42	2;1239;909932;1843488;909930;33024;33025
k79_12236	
k79_85308	2;1239;526524;526525;2810280;2678885;1982626
k79_36607	
k79_36608	
k79_12237	2;1239;186801;3085636;186803;572511;418240;1121115
k79_43	2;1239;909932;1843488;909930;33024;33025
k79_12238	
k79_44	2;1239;186801;3085636;186803;2316020;33039;657313
k79_12239	2;976;200643;171549;815;816
k79_36609	2;1239;186801;3085636;186803;2316020;46228;471875
k79_45	
k79_73136	2157;28890;183925;2158;2159;2172;2173;420247
k79_12240	2;1239;186801;3085636;186803;841
k79_60957	2;1239;526524;526525;2810280;2678885;1982626
k79_46	2;1239;186801;3085636;186803;2316020;46228;471875
k79_73137	
k79_60958	2;976;200643;171549;2005525;375288
k79_47	2;1239;186801;3085636;186803;572511;418240;1121115
k79_12241	2;976;200643;171549;815;909656;821
k79_60959	2;976;200643;171549
k79_48	2;1239;186801;3085636;186803;1766253;39491
k79_12242	
k79_60960	
k79_49	
k79_73138	
k79_12243	
k79_60961	2;1239;186801;186802;216572;1263;1160721
k79_50	
k79_12244	2;1239;186801;3085636;186803;1766253;39491;657318
k79_36610	2;1239;186801;3085636;186803;1766253;39491
k79_12245	2;976;200643;171549;2005525;375288;823
k79_60962	
k79_85309	
k79_73139	2;1239;186801;3085636;186803;33042;410072
k79_36611	2;1239;186801;3085636;186803;1766253;39491
k79_51	2;1239;186801;3085636;186803;189330;88431
k79_60963	2;976;200643;171549;815;816;820
k79_36612	2;1239;186801;3085636;186803;1766253;39491
k79_52	
k79_73140	2;1239;186801;3085636;186803;2569097;39488
k79_53	2;1239;186801;3085636;186803;189330;88431
k79_60964	2;976;200643;171549;815;816;820
k79_12246	2;976;200643;171549;815;909656;821
k79_60965	
k79_54	2;1239;526524;526525;2810280;2678885;1982626
k79_73141	2;1239;186801;3085636;186803;572511;40520;657314
k79_60966	2;976;200643;171549
k79_55	2;976;200643;171549;815;816
k79_73142	2;976;200643;171549;2005525;375288;823
k79_12247	2;1239;186801;3085636;186803;189330;88431
k79_60967	2;1239;186801;3085636;186803;2316020;33039;657313
k79_73143	2;976;200643;171549;2005525;375288;46503
k79_12248	
k79_24409	
k79_48771	2;1239;909932;1843488;909930;33024;33025
k79_24410	2;1239;909932;1843488;909930;33024;33025
k79_56	
k79_48772	
k79_48773	2;976;200643;171549;815;909656;821
k79_85310	2;976;200643;171549;815;816;2528203
k79_12249	2;976;200643;171549;815;816;820
k79_57	
k79_73144	2;976;200643;171549;815
k79_48774	2;1239;186801;3085636;186803;2316020;33039;657313
k79_12250	2;1239;186801;186802;216572;216851
k79_24411	2;1239;186801;3085636;186803;572511;418240;1121115
k79_48775	2;1239;186801;186802;216572;216851;2929494
k79_85311	2;1239;186801;3085636;186803;207244;649756
k79_24412	2;976;768503;768507;2896860;120831;2861765
k79_12251	2;976;200643;171549;815;909656;821
k79_48776	2;1239;186801;3085636;186803;572511;418240;1121115
k79_24413	2;1239;186801;3085636;186803;2316020;33039
k79_85312	2;1239;186801;3085636;186803
k79_48777	
k79_24414	
k79_48778	2;1239;186801;186802;216572;216851;2646395
k79_24415	
k79_48779	2;1239;186801;186802;216572;1905344;1550024
k79_12252	2;1239;909932;1843488;909930;33024;33025
k79_24416	
k79_48780	2;1239;186801;3085636;186803;2316020;46228;471875
k79_24417	2;1239;186801;186802;186806;1730;39496
k79_58	2;1239;186801;3085636;186803;572511;89014
k79_12253	2;1239;186801;186802;186806;1730;39496
k79_59	2;1239;186801;3085636;186803;207244;649756
k79_24418	
k79_73145	2;1239;186801;3085636;186803;2316020;33039;657313
k79_60	
k79_85313	
k79_12254	2;1239;526524;526525;2810280;2678885;1982626
