Contig	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Mean	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz RPKM	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Covered Fraction
k79_48250	4.587629	4.871296	1
k79_48251	5.0471697	6.6583886	1
k79_84399	5.9466667	7.5757675	1
k79_84400	6.0451126	7.4403443	1
k79_48252	9.022654	11.359281	1
k79_36190	4.392458	5.5575523	1
k79_48253	3.20625	4.52821	1
k79_33	6.1029253	8.338881	1
k79_84401	5.7787113	6.846971	1
k79_36192	29.651613	36.721344	0.9974026
k79_84402	8.957447	10.684242	1
k79_84403	4.891089	6.391554	1
k79_34	3.7070572	4.7852416	1
k79_24128	7.44	9.721937	1
k79_84404	6	6.3460445	0.9662447
k79_35	3.195804	4.369456	1
k79_84405	4.8920455	5.7675996	1
k79_38	3.7624521	5.8550367	1
k79_84406	3.5252526	4.8981247	1
k79_48254	9.704066	12.551403	1
k79_84407	2.1923077	3.080845	1
k79_12069	7.162963	9.386745	1
k79_72330	17.16131	22.970207	1
k79_39	4.3547354	5.1884866	0.99870634
k79_84408	3.71875	4.615488	1
k79_84409	6.491667	6.6844997	1
k79_84410	2.798165	4.645599	1
k79_12070	4.9404254	6.0712433	1
k79_12071	5.6504855	7.0412574	1
k79_84411	5.30662	7.5716877	1
k79_72331	8.059804	10.455244	1
k79_48255	9.0400505	11.472254	1
k79_84412	6.9808917	9.471522	1
k79_72332	2.352459	2.9490442	1
k79_12072	7.322464	8.4733095	1
k79_48256	3.9380531	5.337434	1
k79_84413	3.6170213	4.5202565	1
k79_12073	4.203125	5.049443	1
k79_72333	5.7076025	7.1842756	1
k79_24129	6.8955956	9.075534	1
k79_48257	4.2017546	6.0768185	1
k79_84414	3.7739131	4.5404153	1
k79_12074	6.7751937	6.8282533	1
k79_72334	6.968	8.0214	1
k79_24130	3.7	6.016051	1
k79_48258	6.1654134	6.7317405	1
k79_72335	4.491228	5.3172164	1
k79_24131	5.2393165	7.1351404	1
k79_12075	12.282178	11.678886	0.9801136
k79_84415	4.1937985	5.6015368	1
k79_24132	6.2643676	6.3460445	1
k79_40	8.609664	11.219672	1
k79_84416	4.3404255	5.168428	1
k79_24133	1.8453609	3.2475305	1
k79_48259	6.591966	8.851867	1
k79_24134	3.2608695	3.7289565	1
k79_41	4.997921	6.0382967	1
k79_42	6.4545455	6.5559516	1
k79_36193	8.340062	11.018407	1
k79_48260	5.2410016	6.735333	1
k79_84417	4.634855	6.2021136	1
k79_36194	6.6363635	7.7128854	1
k79_84418	5.1182795	7.4272223	1
k79_12076	4.4395885	5.8622613	1
k79_43	7.8	9.916566	1
k79_36195	2.6335878	3.9250624	1
k79_48261	3.6536312	5.7239323	1
k79_72336	6.222149	8.180192	1
k79_45	3.9732144	4.9751053	1
k79_72337	3.409836	4.4235663	1
k79_48262	3.4572864	4.8840904	1
